uniprotid,genename,uniprotname,proteinname,disorders,references
Q9Y5U8,MPC1,MPC1_HUMAN,Mitochondrial pyruvate carrier 1,['-'],['28007376']
Q8TEQ8,PIGO,PIGO_HUMAN,GPI ethanolamine phosphate transferase 3,['-'],['28007376']
Q7LG56,RRM2B,RIR2B_HUMAN,Ribonucleoside-diphosphate reductase subunit M2 B,['-'],['28007376']
Q9BX67,JAM3,JAM3_HUMAN,Junctional adhesion molecule C,['-'],['28007376']
O75352,MPDU1,MPU1_HUMAN,Mannose-P-dolichol utilization defect 1 protein,['-'],['28007376']
P00558,PGK1,PGK1_HUMAN,Phosphoglycerate kinase 1,['-'],['28007376']
O60245,PCDH7,PCDH7_HUMAN,Protocadherin-7,['-'],['28007376']
O00584,RNASET2,RNT2_HUMAN,Ribonuclease T2,['-'],['28007376']
Q9BV20,MRI1,MTNA_HUMAN,Methylthioribose-1-phosphate isomerase,['-'],['28007376']
P00374,DHFR,DYR_HUMAN,Dihydrofolate reductase,['-'],['28007376']
Q96RP9,GFM1,EFGM_HUMAN,"Elongation factor G, mitochondrial",['-'],['28007376']
P32418,SLC8A1,NAC1_HUMAN,Sodium/calcium exchanger 1,['-'],['28007376']
O14813,PHOX2A,PHX2A_HUMAN,Paired mesoderm homeobox protein 2A,['-'],['28007376']
Q9H3L0,MMADHC,MMAD_HUMAN,"Methylmalonic aciduria and homocystinuria type D protein, mitochondrial",['-'],['28007376']
Q9ULU4,ZMYND8,PKCB1_HUMAN,Protein kinase C-binding protein 1,['-'],['28007376']
P49821,NDUFV1,NDUV1_HUMAN,"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial",['-'],['28007376']
Q9NQ66,PLCB1,PLCB1_HUMAN,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1",['MTLE'],"['17515952', '28007376']"
P28328,PEX2,PEX2_HUMAN,Peroxisome biogenesis factor 2,['-'],['28007376']
Q9BYX4,IFIH1,IFIH1_HUMAN,Interferon-induced helicase C domain-containing protein 1,['-'],['28007376']
O00142,TK2,KITM_HUMAN,"Thymidine kinase 2, mitochondrial",['-'],['28007376']
P33527,ABCC1,MRP1_HUMAN,Multidrug resistance-associated protein 1,['-'],['28007376']
Q9NVS9,PNPO,PNPO_HUMAN,Pyridoxine-5'-phosphate oxidase,['-'],['28007376']
Q9NUD9,PIGV,PIGV_HUMAN,GPI mannosyltransferase 2,['-'],['28007376']
Q9GZR5,ELOVL4,ELOV4_HUMAN,Elongation of very long chain fatty acids protein 4,['-'],['28007376']
O60359,CACNG3,CCG3_HUMAN,Voltage-dependent calcium channel gamma-3 subunit,['-'],['28007376']
Q9NY47,CACNA2D2,CA2D2_HUMAN,Voltage-dependent calcium channel subunit alpha-2/delta-2,['-'],['28007376']
O75746,SLC25A12,CMC1_HUMAN,Calcium-binding mitochondrial carrier protein Aralar1,['-'],['28007376']
P51659,HSD17B4,DHB4_HUMAN,Peroxisomal multifunctional enzyme type 2,['-'],['28007376']
P23560,BDNF,BDNF_HUMAN,Brain-derived neurotrophic factor,['-'],['28007376']
Q92793,CREBBP,CBP_HUMAN,CREB-binding protein,['-'],['28007376']
Q06787,FMR1,FMR1_HUMAN,Synaptic functional regulator FMR1,['-'],['28007376']
Q9HCE0,EPG5,EPG5_HUMAN,Ectopic P granules protein 5 homolog,['-'],['28007376']
Q8NHY3,GAS2L2,GA2L2_HUMAN,GAS2-like protein 2,['-'],['28007376']
O94989,ARHGEF15,ARHGF_HUMAN,Rho guanine nucleotide exchange factor 15,['-'],['28007376']
P09417,QDPR,DHPR_HUMAN,Dihydropteridine reductase,['-'],['28007376']
O60610,DIAPH1,DIAP1_HUMAN,Protein diaphanous homolog 1,['-'],['28007376']
Q9NQT5,EXOSC3,EXOS3_HUMAN,Exosome complex component RRP40,['-'],['28007376']
P02792,FTL,FRIL_HUMAN,Ferritin light chain,['-'],['28007376']
Q8NF50,DOCK8,DOCK8_HUMAN,Dedicator of cytokinesis protein 8,['-'],['28007376']
Q14117,DPYS,DPYS_HUMAN,Dihydropyrimidinase,['-'],['28007376']
Q92562,FIG4,FIG4_HUMAN,Polyphosphoinositide phosphatase,['-'],['28007376']
Q9UKD1,GMEB2,GMEB2_HUMAN,Glucocorticoid modulatory element-binding protein 2,['-'],['28007376']
Q15392,DHCR24,DHC24_HUMAN,Delta(24)-sterol reductase,['-'],['28007376']
P02458,COL2A1,CO2A1_HUMAN,Collagen alpha-1(II) chain,['-'],['28007376']
P42568,MLLT3,AF9_HUMAN,Protein AF-9,['-'],['28007376']
P20930,FLG,FILA_HUMAN,Filaggrin,['-'],['28007376']
O75140,DEPDC5,DEPD5_HUMAN,GATOR complex protein DEPDC5,['FCD'],"['31857538', '28007376']"
O95394,PGM3,AGM1_HUMAN,Phosphoacetylglucosamine mutase,['-'],['28007376']
Q96MW5,COG8,COG8_HUMAN,Conserved oligomeric Golgi complex subunit 8,['-'],['28007376']
O75503,CLN5,CLN5_HUMAN,Ceroid-lipofuscinosis neuronal protein 5,['-'],['28007376']
Q9H3H5,DPAGT1,GPT_HUMAN,UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase,['-'],['28007376']
P35573,AGL,GDE_HUMAN,Glycogen debranching enzyme,['-'],['28007376']
O14521,SDHD,DHSD_HUMAN,"Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial",['-'],['28007376']
P14854,COX6B1,CX6B1_HUMAN,Cytochrome c oxidase subunit 6B1,['-'],['28007376']
Q15067,ACOX1,ACOX1_HUMAN,Peroxisomal acyl-coenzyme A oxidase 1,['-'],['28007376']
Q9H078,CLPB,CLPB_HUMAN,Caseinolytic peptidase B protein homolog,['-'],['28007376']
P02461,COL3A1,CO3A1_HUMAN,Collagen alpha-1(III) chain,['MTLE'],"['23483634', '28007376']"
O14647,CHD2,CHD2_HUMAN,Chromodomain-helicase-DNA-binding protein 2,"['Dravet Syndrome', 'JAE', 'JME']","['28544625', '29924869', '29924869', '28007376']"
O15247,CLIC2,CLIC2_HUMAN,Chloride intracellular channel protein 2,['-'],['28007376']
P54289,CACNA2D1,CA2D1_HUMAN,Voltage-dependent calcium channel subunit alpha-2/delta-1,['-'],['28007376']
Q15878,CACNA1E,CAC1E_HUMAN,Voltage-dependent R-type calcium channel subunit alpha-1E,['-'],['28007376']
Q9UBB4,ATXN10,ATX10_HUMAN,Ataxin-10,['-'],['28007376']
Q9P2K1,CC2D2A,C2D2A_HUMAN,Coiled-coil and C2 domain-containing protein 2A,['-'],['28007376']
P21333,FLNA,FLNA_HUMAN,Filamin-A,['-'],['28007376']
Q13948,CUX1,CASP_HUMAN,Protein CASP,['-'],['28007376']
Q04656,ATP7A,ATP7A_HUMAN,Copper-transporting ATPase 1,['-'],['28007376']
Q14353,GAMT,GAMT_HUMAN,Guanidinoacetate N-methyltransferase,['-'],['28007376']
Q9UBS5,GABBR1,GABR1_HUMAN,Gamma-aminobutyric acid type B receptor subunit 1,['-'],['28007376']
P55075,FGF8,FGF8_HUMAN,Fibroblast growth factor 8,['-'],['28007376']
P51608,MECP2,MECP2_HUMAN,Methyl-CpG-binding protein 2,['-'],['28007376']
P05161,ISG15,ISG15_HUMAN,Ubiquitin-like protein ISG15,['-'],['28007376']
Q5JTC6,AMER1,AMER1_HUMAN,APC membrane recruitment protein 1,['-'],['28007376']
P81274,GPSM2,GPSM2_HUMAN,G-protein-signaling modulator 2,['-'],['28007376']
Q14204,DYNC1H1,DYHC1_HUMAN,Cytoplasmic dynein 1 heavy chain 1,['-'],['28007376']
Q969Y2,GTPBP3,GTPB3_HUMAN,"tRNA modification GTPase GTPBP3, mitochondrial",['-'],['28007376']
O43307,ARHGEF9,ARHG9_HUMAN,Rho guanine nucleotide exchange factor 9,['-'],['28007376']
P26358,DNMT1,DNMT1_HUMAN,DNA (cytosine-5)-methyltransferase 1,['-'],['28007376']
P28472,GABRB3,GBRB3_HUMAN,Gamma-aminobutyric acid receptor subunit beta-3,"['MTLE', 'Dravet Syndrome', 'CAE', 'JME']","['17515952', '28544625', '11988776', '29924869', '28007376']"
P15104,GLUL,GLNA_HUMAN,Glutamine synthetase,['-'],['28007376']
P54756,EPHA5,EPHA5_HUMAN,Ephrin type-A receptor 5,['-'],['28255556']
Q9NVC6,MED17,MED17_HUMAN,Mediator of RNA polymerase II transcription subunit 17,['-'],['28007376']
P01584,IL1B,IL1B_HUMAN,Interleukin-1 beta,['MTLE-HS'],"['30932156', '28007376']"
Q96PE3,INPP4A,INP4A_HUMAN,Inositol polyphosphate-4-phosphatase type I A,['-'],['28007376']
P35557,GCK,HXK4_HUMAN,Hexokinase-4,['-'],['28007376']
Q96DP5,MTFMT,FMT_HUMAN,"Methionyl-tRNA formyltransferase, mitochondrial",['-'],['28007376']
Q99259,GAD1,DCE1_HUMAN,Glutamate decarboxylase 1,['-'],['28007376']
Q7Z429,GRINA,LFG1_HUMAN,Protein lifeguard 1,['-'],['28007376']
Q9BU40,CHRDL1,CRDL1_HUMAN,Chordin-like protein 1,['-'],['28007376']
Q9H6U8,ALG9,ALG9_HUMAN,"Alpha-1,2-mannosyltransferase ALG9",['-'],['28007376']
Q14738,PPP2R5D,2A5D_HUMAN,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform,['-'],['28007376']
P09471,GNAO1,GNAO_HUMAN,Guanine nucleotide-binding protein G(o) subunit alpha,['-'],['28007376']
P98174,FGD1,FGD1_HUMAN,"FYVE, RhoGEF and PH domain-containing protein 1",['-'],['28007376']
Q92794,KAT6A,KAT6A_HUMAN,Histone acetyltransferase KAT6A,['-'],['28007376']
P08183,ABCB1,MDR1_HUMAN,ATP-dependent translocase ABCB1,['CAE'],"['28165634', '28007376']"
Q494W8,CHRFAM7A,CRFM7_HUMAN,CHRNA7-FAM7A fusion protein,['-'],['28007376']
Q4G176,ACSF3,ACSF3_HUMAN,"Malonate--CoA ligase ACSF3, mitochondrial",['-'],['28007376']
Q05901,CHRNB3,ACHB3_HUMAN,Neuronal acetylcholine receptor subunit beta-3,"['JAE', 'JME']","['29924869', '29924869', '28007376']"
P05067,APP,A4_HUMAN,Amyloid-beta precursor protein,['-'],['28007376']
P50052,AGTR2,AGTR2_HUMAN,Type-2 angiotensin II receptor,['-'],['28007376']
Q12882,DPYD,DPYD_HUMAN,Dihydropyrimidine dehydrogenase [NADP(+)],['-'],['28007376']
Q9HCC0,MCCC2,MCCB_HUMAN,"Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial",['-'],['28007376']
Q9Y5P4,COL4A3BP,C43BP_HUMAN,Collagen type IV alpha-3-binding protein,['-'],['28007376']
O14497,ARID1A,ARI1A_HUMAN,AT-rich interactive domain-containing protein 1A,['-'],['28007376']
Q9NWW5,CLN6,CLN6_HUMAN,Ceroid-lipofuscinosis neuronal protein 6,['-'],['28007376']
P21397,MAOA,AOFA_HUMAN,Amine oxidase [flavin-containing] A,['-'],['28007376']
Q9P0K9,FRRS1L,FRS1L_HUMAN,DOMON domain-containing protein FRRS1L,['-'],['28007376']
P56377,AP1S2,AP1S2_HUMAN,AP-1 complex subunit sigma-2,['-'],['28007376']
Q9Y3R0,GRIP1,GRIP1_HUMAN,Glutamate receptor-interacting protein 1,['-'],['28007376']
Q9Y5P6,GMPPB,GMPPB_HUMAN,Mannose-1-phosphate guanyltransferase beta,['-'],['28007376']
Q9HCP0,CSNK1G1,KC1G1_HUMAN,Casein kinase I isoform gamma-1,['-'],['28007376']
Q330K2,NDUFAF6,NDUF6_HUMAN,"NADH dehydrogenase (ubiquinone) complex I, assembly factor 6",['-'],['28007376']
Q8N4C6,NIN,NIN_HUMAN,Ninein,['-'],['28007376']
P20929,NEB,NEBU_HUMAN,Nebulin,['-'],['28007376']
Q9H8H0,NOL11,NOL11_HUMAN,Nucleolar protein 11,['-'],['28007376']
Q7Z3G6,PRICKLE2,PRIC2_HUMAN,Prickle-like protein 2,['-'],['28007376']
Q5JSZ5,PRRC2B,PRC2B_HUMAN,Protein PRRC2B,['-'],['28007376']
Q7RTP0,NIPA1,NIPA1_HUMAN,Magnesium transporter NIPA1,['-'],['28007376']
Q7Z3K3,POGZ,POGZ_HUMAN,Pogo transposable element with ZNF domain,['-'],['28007376']
Q8N8Q9,NIPA2,NIPA2_HUMAN,Magnesium transporter NIPA2,['-'],['28007376']
P12694,BCKDHA,ODBA_HUMAN,"2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial",['-'],['28007376']
Q9ULI3,HEG1,HEG1_HUMAN,Protein HEG homolog 1,['-'],['28007376']
P48051,KCNJ6,KCNJ6_HUMAN,G protein-activated inward rectifier potassium channel 2,['-'],['28007376']
Q9UQK1,PPP1R3C,PPR3C_HUMAN,Protein phosphatase 1 regulatory subunit 3C,['-'],['28007376']
Q9Y233,PDE10A,PDE10_HUMAN,"cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A",['-'],['28007376']
Q8NA29,MFSD2A,NLS1_HUMAN,Sodium-dependent lysophosphatidylcholine symporter 1,['-'],['28007376']
Q96T60,PNKP,PNKP_HUMAN,Bifunctional polynucleotide phosphatase/kinase,"['JME', 'EGTCS']","['29924869', '29924869', '28007376']"
O43772,SLC25A20,MCAT_HUMAN,Mitochondrial carnitine/acylcarnitine carrier protein,['-'],['28007376']
Q15233,NONO,NONO_HUMAN,Non-POU domain-containing octamer-binding protein,['-'],['28007376']
P32243,OTX2,OTX2_HUMAN,Homeobox protein OTX2,['-'],['28007376']
Q96PU5,NEDD4L,NED4L_HUMAN,E3 ubiquitin-protein ligase NEDD4-like,['-'],['28007376']
O15239,NDUFA1,NDUA1_HUMAN,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1,['-'],['28007376']
Q99714,HSD17B10,HCD2_HUMAN,3-hydroxyacyl-CoA dehydrogenase type-2,['-'],['28007376']
Q9Y6N6,LAMC3,LAMC3_HUMAN,Laminin subunit gamma-3,['-'],['28007376']
P06865,HEXA,HEXA_HUMAN,Beta-hexosaminidase subunit alpha,['-'],['28007376']
Q8TDN2,KCNV2,KCNV2_HUMAN,Potassium voltage-gated channel subfamily V member 2,['-'],['28007376']
Q9Y619,SLC25A15,ORNT1_HUMAN,Mitochondrial ornithine transporter 1,['-'],['28007376']
O15031,PLXNB2,PLXB2_HUMAN,Plexin-B2,['-'],['28007376']
Q12879,GRIN2A,NMDE1_HUMAN,"Glutamate receptor ionotropic, NMDA 2A",['JME'],"['29924869', '28007376']"
Q8N4T0,CPA6,CBPA6_HUMAN,Carboxypeptidase A6,"['MTLE', 'JME']","['28007376', '29924869', '28007376']"
Q9Y2D4,EXOC6B,EXC6B_HUMAN,Exocyst complex component 6B,['-'],['28007376']
Q14232,EIF2B1,EI2BA_HUMAN,Translation initiation factor eIF-2B subunit alpha,['-'],['28007376']
Q9NP80,PNPLA8,PLPL8_HUMAN,Calcium-independent phospholipase A2-gamma,['-'],['28007376']
P11166,SLC2A1,GTR1_HUMAN,"Solute carrier family 2, facilitated glucose transporter member 1",['-'],['28007376']
P22459,KCNA4,KCNA4_HUMAN,Potassium voltage-gated channel subfamily A member 4,['-'],['28007376']
Q5JU85,IQSEC2,IQEC2_HUMAN,IQ motif and SEC7 domain-containing protein 2,['-'],['28007376']
P00450,CP,CERU_HUMAN,Ceruloplasmin,['-'],['28007376']
P15382,KCNE1,KCNE1_HUMAN,Potassium voltage-gated channel subfamily E member 1,['-'],['28007376']
Q9NYQ7,CELSR3,CELR3_HUMAN,Cadherin EGF LAG seven-pass G-type receptor 3,['-'],['28007376']
Q9NQX3,GPHN,GEPH_HUMAN,Gephyrin,['-'],['28007376']
Q8NFD5,ARID1B,ARI1B_HUMAN,AT-rich interactive domain-containing protein 1B,['-'],['28007376']
Q9P219,CCDC88C,DAPLE_HUMAN,Protein Daple,['MTLE'],"['23483634', '28007376']"
P43003,SLC1A3,EAA1_HUMAN,Excitatory amino acid transporter 1,['-'],['28007376']
Q16760,DGKD,DGKD_HUMAN,Diacylglycerol kinase delta,['-'],['28007376']
Q8WXX7,AUTS2,AUTS2_HUMAN,Autism susceptibility gene 2 protein,['-'],['28007376']
O95180,CACNA1H,CAC1H_HUMAN,Voltage-dependent T-type calcium channel subunit alpha-1H,"['CAE', 'JME', 'EGTCS']","['28165634', '29924869', '29924869', '28007376']"
Q8WVX9,FAR1,FACR1_HUMAN,Fatty acyl-CoA reductase 1,['-'],['28007376']
Q9NXL9,MCM9,MCM9_HUMAN,DNA helicase MCM9,['-'],['28007376']
P09038,FGF2,FGF2_HUMAN,Fibroblast growth factor 2,['-'],['28007376']
P35680,HNF1B,HNF1B_HUMAN,Hepatocyte nuclear factor 1-beta,['-'],['28007376']
Q05639,EEF1A2,EF1A2_HUMAN,Elongation factor 1-alpha 2,['-'],['28007376']
P32004,L1CAM,L1CAM_HUMAN,Neural cell adhesion molecule L1,['-'],['28007376']
O75398,DEAF1,DEAF1_HUMAN,Deformed epidermal autoregulatory factor 1 homolog,['-'],['28007376']
P40939,HADHA,ECHA_HUMAN,"Trifunctional enzyme subunit alpha, mitochondrial",['-'],['28007376']
P39880,CUX1,CUX1_HUMAN,Homeobox protein cut-like 1,['-'],['28007376']
P43005,SLC1A1,EAA3_HUMAN,Excitatory amino acid transporter 3,['-'],['28007376']
Q9NVF7,FBXO28,FBX28_HUMAN,F-box only protein 28,['-'],['28007376']
Q8IVS8,GLYCTK,GLCTK_HUMAN,Glycerate kinase,['-'],['28007376']
O14958,CASQ2,CASQ2_HUMAN,Calsequestrin-2,['-'],['28007376']
P30153,PPP2R1A,2AAA_HUMAN,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform,['-'],['28007376']
P60709,ACTB,ACTB_HUMAN,"Actin, cytoplasmic 1",['-'],['28007376']
Q13627,DYRK1A,DYR1A_HUMAN,Dual specificity tyrosine-phosphorylation-regulated kinase 1A,['-'],['28007376']
Q9Y6K1,DNMT3A,DNM3A_HUMAN,DNA (cytosine-5)-methyltransferase 3A,['-'],['28007376']
P36969,GPX4,GPX4_HUMAN,Phospholipid hydroperoxide glutathione peroxidase,['-'],['28007376']
P54098,POLG,DPOG1_HUMAN,DNA polymerase subunit gamma-1,"['CAE', 'JAE']","['29924869', '29924869', '28007376']"
Q9H3Z4,DNAJC5,DNJC5_HUMAN,DnaJ homolog subfamily C member 5,['-'],['28007376']
O43505,B4GAT1,B4GA1_HUMAN,"Beta-1,4-glucuronyltransferase 1",['-'],['28007376']
P30793,GCH1,GCH1_HUMAN,GTP cyclohydrolase 1,['-'],['28007376']
Q96PZ2,FAM111A,F111A_HUMAN,Protein FAM111A,['-'],['28007376']
Q04446,GBE1,GLGB_HUMAN,"1,4-alpha-glucan-branching enzyme",['-'],['28007376']
P17813,ENG,EGLN_HUMAN,Endoglin,['-'],['28007376']
Q8TD30,GPT2,ALAT2_HUMAN,Alanine aminotransferase 2,['-'],['28007376']
Q9UDR5,AASS,AASS_HUMAN,"Alpha-aminoadipic semialdehyde synthase, mitochondrial",['-'],['28007376']
Q13255,GRM1,GRM1_HUMAN,Metabotropic glutamate receptor 1,['-'],['28007376']
Q9NZ56,FMN2,FMN2_HUMAN,Formin-2,['-'],['28007376']
O14874,BCKDK,BCKD_HUMAN,"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",['-'],['28007376']
Q04771,ACVR1,ACVR1_HUMAN,Activin receptor type-1,['-'],['28007376']
Q5T6L9,ERMARD,EMARD_HUMAN,Endoplasmic reticulum membrane-associated RNA degradation protein,['-'],['28007376']
P15056,BRAF,BRAF_HUMAN,Serine/threonine-protein kinase B-raf,['-'],['28007376']
P06850,CRH,CRF_HUMAN,Corticoliberin,['-'],['28007376']
P31327,CPS1,CPSM_HUMAN,"Carbamoyl-phosphate synthase [ammonia], mitochondrial",['-'],['28007376']
Q14839,CHD4,CHD4_HUMAN,Chromodomain-helicase-DNA-binding protein 4,['-'],['28007376']
Q8N157,AHI1,AHI1_HUMAN,Jouberin,['-'],['28007376']
Q9UPQ8,DOLK,DOLK_HUMAN,Dolichol kinase,['-'],['28007376']
O60832,DKC1,DKC1_HUMAN,H/ACA ribonucleoprotein complex subunit DKC1,['-'],['28007376']
O15078,CEP290,CE290_HUMAN,Centrosomal protein of 290 kDa,['-'],['28007376']
Q9NP73,ALG13,ALG13_HUMAN,Putative bifunctional UDP-N-acetylglucosamine transferase and deubiquitinase ALG13,['-'],['28007376']
Q9BT22,ALG1,ALG1_HUMAN,Chitobiosyldiphosphodolichol beta-mannosyltransferase,['-'],['28007376']
O00400,SLC33A1,ACATN_HUMAN,Acetyl-coenzyme A transporter 1,['-'],['28007376']
Q16134,ETFDH,ETFD_HUMAN,"Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial",['-'],['28007376']
P43004,SLC1A2,EAA2_HUMAN,Excitatory amino acid transporter 2,['-'],['28007376']
O95571,ETHE1,ETHE1_HUMAN,"Persulfide dioxygenase ETHE1, mitochondrial",['-'],['28007376']
Q13303,KCNAB2,KCAB2_HUMAN,Voltage-gated potassium channel subunit beta-2,['-'],['28007376']
P16389,KCNA2,KCNA2_HUMAN,Potassium voltage-gated channel subfamily A member 2,['-'],['28007376']
O00522,KRIT1,KRIT1_HUMAN,Krev interaction trapped protein 1,['-'],['28007376']
Q9BVA0,KATNB1,KTNB1_HUMAN,Katanin p80 WD40 repeat-containing subunit B1,['-'],['28007376']
O95259,KCNH1,KCNH1_HUMAN,Potassium voltage-gated channel subfamily H member 1,['-'],['28007376']
O14513,NCKAP5,NCKP5_HUMAN,Nck-associated protein 5,['-'],['28007376']
Q8TB37,NUBPL,NUBPL_HUMAN,Iron-sulfur protein NUBPL,['-'],['28007376']
Q7Z406,MYH14,MYH14_HUMAN,Myosin-14,['-'],['28007376']
Q9Y6V0,PCLO,PCLO_HUMAN,Protein piccolo,['-'],['28007376']
P21359,NF1,NF1_HUMAN,Neurofibromin,['-'],['28007376']
P46531,NOTCH1,NOTC1_HUMAN,Neurogenic locus notch homolog protein 1,['-'],['28007376']
P54886,ALDH18A1,P5CS_HUMAN,Delta-1-pyrroline-5-carboxylate synthase,['-'],['28007376']
P01303,NPY,NPY_HUMAN,Pro-neuropeptide Y,['-'],['28007376']
P00387,CYB5R3,NB5R3_HUMAN,NADH-cytochrome b5 reductase 3,['-'],['28007376']
Q16555,DPYSL2,DPYL2_HUMAN,Dihydropyrimidinase-related protein 2,['-'],['28007376']
P62873,GNB1,GBB1_HUMAN,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1,['-'],['28007376']
O60936,NOL3,NOL3_HUMAN,Nucleolar protein 3,['-'],['28007376']
Q5SWA1,PPP1R15B,PR15B_HUMAN,Protein phosphatase 1 regulatory subunit 15B,['-'],['28007376']
O00459,PIK3R2,P85B_HUMAN,Phosphatidylinositol 3-kinase regulatory subunit beta,['-'],['28007376']
P51160,PDE6C,PDE6C_HUMAN,"Cone cGMP-specific 3',5'-cyclic phosphodiesterase subunit alpha'",['MTLE'],"['23483634', '28255556']"
Q8TCS8,PNPT1,PNPT1_HUMAN,"Polyribonucleotide nucleotidyltransferase 1, mitochondrial",['-'],['28007376']
P18510,IL1RN,IL1RA_HUMAN,Interleukin-1 receptor antagonist protein,['-'],['28007376']
Q14654,KCNJ11,KCJ11_HUMAN,ATP-sensitive inward rectifier potassium channel 11,['-'],['28007376']
P22304,IDS,IDS_HUMAN,Iduronate 2-sulfatase,['-'],['28007376']
P78527,PRKDC,PRKDC_HUMAN,DNA-dependent protein kinase catalytic subunit,['-'],['28007376']
A4FU01,MTMR11,MTMRB_HUMAN,Myotubularin-related protein 11,['-'],['28007376']
O95453,PARN,PARN_HUMAN,Poly(A)-specific ribonuclease PARN,['-'],['28007376']
O60733,PLA2G6,PLPL9_HUMAN,85/88 kDa calcium-independent phospholipase A2,['-'],['28007376']
Q9ULB1,NRXN1,NRX1A_HUMAN,Neurexin-1,"['JAE', 'JME']","['29924869', '29924869', '28007376']"
Q9NQV8,PRDM8,PRDM8_HUMAN,PR domain zinc finger protein 8,['-'],['28007376']
Q96L73,NSD1,NSD1_HUMAN,"Histone-lysine N-methyltransferase, H3 lysine-36 and H4 lysine-20 specific",['-'],['28007376']
P04156,PRNP,PRIO_HUMAN,Major prion protein,['-'],['28007376']
O60313,OPA1,OPA1_HUMAN,"Dynamin-like 120 kDa protein, mitochondrial",['-'],['28007376']
O95278,EPM2A,EPM2A_HUMAN,Laforin,['-'],['28007376']
P23378,GLDC,GCSP_HUMAN,"Glycine dehydrogenase (decarboxylating), mitochondrial",['-'],['28007376']
O75444,MAF,MAF_HUMAN,Transcription factor Maf,['-'],['28007376']
P00480,OTC,OTC_HUMAN,"Ornithine carbamoyltransferase, mitochondrial",['-'],['28007376']
P01189,POMC,COLI_HUMAN,Pro-opiomelanocortin,['-'],['28007376']
Q96QS3,ARX,ARX_HUMAN,Homeobox protein ARX,['JME'],"['29924869', '28007376']"
Q86WJ1,CHD1L,CHD1L_HUMAN,Chromodomain-helicase-DNA-binding protein 1-like,['-'],['28007376']
P17787,CHRNB2,ACHB2_HUMAN,Neuronal acetylcholine receptor subunit beta-2,['JME'],"['29924869', '28007376']"
P12111,COL6A3,CO6A3_HUMAN,Collagen alpha-3(VI) chain,['-'],['28007376']
P55084,HADHB,ECHB_HUMAN,"Trifunctional enzyme subunit beta, mitochondrial",['-'],['28007376']
P42898,MTHFR,MTHR_HUMAN,Methylenetetrahydrofolate reductase,['-'],['28007376']
Q9HBZ2,ARNT2,ARNT2_HUMAN,Aryl hydrocarbon receptor nuclear translocator 2,['-'],['28007376']
Q86XL3,ANKLE2,ANKL2_HUMAN,Ankyrin repeat and LEM domain-containing protein 2,['-'],['28007376']
O94985,CLSTN1,CSTN1_HUMAN,Calsyntenin-1,['-'],['28007376']
Q13620,CUL4B,CUL4B_HUMAN,Cullin-4B,['-'],['28007376']
O95970,LGI1,LGI1_HUMAN,Leucine-rich glioma-inactivated protein 1,"['MTLE', 'JME']","['28007376', '29924869', '28007376']"
Q8N145,LGI3,LGI3_HUMAN,Leucine-rich repeat LGI family member 3,['-'],['28007376']
P63104,YWHAZ,1433Z_HUMAN,14-3-3 protein zeta/delta,['MTLE'],"['17515952', '28255556']"
P23368,ME2,MAOM_HUMAN,"NAD-dependent malic enzyme, mitochondrial","['JAE', 'JME', 'EGTCS']","['22206818', '23756480', '29924869', '29924869', '28007376']"
Q8N135,LGI4,LGI4_HUMAN,Leucine-rich repeat LGI family member 4,['JME'],"['29924869', '28007376']"
Q12791,KCNMA1,KCMA1_HUMAN,Calcium-activated potassium channel subunit alpha-1,['JME'],"['29924869', '28007376']"
Q96RQ3,MCCC1,MCCA_HUMAN,"Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial",['-'],['28007376']
Q3V6T2,CCDC88A,GRDN_HUMAN,Girdin,['-'],['28007376']
P04062,GBA,GLCM_HUMAN,Lysosomal acid glucosylceramidase,['-'],['28007376']
Q9H9B1,EHMT1,EHMT1_HUMAN,Histone-lysine N-methyltransferase EHMT1,['-'],['28007376']
Q93074,MED12,MED12_HUMAN,Mediator of RNA polymerase II transcription subunit 12,['-'],['28007376']
Q14722,KCNAB1,KCAB1_HUMAN,Voltage-gated potassium channel subunit beta-1,['-'],['28007376']
A9QM74,KPNA7,IMA8_HUMAN,Importin subunit alpha-8,['-'],['28007376']
Q05193,DNM1,DYN1_HUMAN,Dynamin-1,['MTLE'],"['17515952', '28007376']"
P21802,FGFR2,FGFR2_HUMAN,Fibroblast growth factor receptor 2,['-'],['28007376']
Q9P0K1,ADAM22,ADA22_HUMAN,Disintegrin and metalloproteinase domain-containing protein 22,['-'],['28007376']
