Uniprot ID,Gene Name,Uniprot Name,Protein Name
Q13214,SEMA3B,SEM3B_HUMAN,Semaphorin-3B
Q9BXB7,SPATA16,SPT16_HUMAN,Spermatogenesis-associated protein 16
Q96I59,NARS2,SYNM_HUMAN,"Probable asparagine--tRNA ligase, mitochondrial"
O95359,TACC2,TACC2_HUMAN,Transforming acidic coiled-coil-containing protein 2
Q13190,STX5,STX5_HUMAN,Syntaxin-5
P20061,TCN1,TCO1_HUMAN,Transcobalamin-1
Q9Y4C2,TCAF1,TCAF1_HUMAN,TRPM8 channel-associated factor 1
Q7Z5A9,TAFA1,TAFA1_HUMAN,Chemokine-like protein TAFA-1
Q495X7,TRIM60,TRI60_HUMAN,Tripartite motif-containing protein 60
Q9BRV8,SIKE1,SIKE1_HUMAN,Suppressor of IKBKE 1
Q96M53,TBATA,TBATA_HUMAN,Protein TBATA
A6NFQ2,TCAF2,TCAF2_HUMAN,TRPM8 channel-associated factor 2
Q6AZZ1,TRIM68,TRI68_HUMAN,E3 ubiquitin-protein ligase TRIM68
Q13591,SEMA5A,SEM5A_HUMAN,Semaphorin-5A
Q9BWW4,SSBP3,SSBP3_HUMAN,Single-stranded DNA-binding protein 3
Q9NRC1,ST7,ST7_HUMAN,Suppressor of tumorigenicity 7 protein
Q9BXQ6,TMEM121B,T121B_HUMAN,Transmembrane protein 121B
Q96HF1,SFRP2,SFRP2_HUMAN,Secreted frizzled-related protein 2
Q92765,FRZB,SFRP3_HUMAN,Secreted frizzled-related protein 3
A2VDJ0,TMEM131L,T131L_HUMAN,Transmembrane protein 131-like
Q8NET8,TRPV3,TRPV3_HUMAN,Transient receptor potential cation channel subfamily V member 3
Q9NY26,SLC39A1,S39A1_HUMAN,Zinc transporter ZIP1
O15304,SIVA1,SIVA_HUMAN,Apoptosis regulatory protein Siva
Q9Y3F4,STRAP,STRAP_HUMAN,Serine-threonine kinase receptor-associated protein
A6NDI0,TRIM49B,TR49B_HUMAN,Putative tripartite motif-containing protein 49B
Q8TDR4,TCP10L,TCP1L_HUMAN,T-complex protein 10A homolog 1
C9J1S8,TRIM49D1,TR49D_HUMAN,Tripartite motif-containing protein 49D
Q8IYL2,TRMT44,TRM44_HUMAN,Probable tRNA (uracil-O(2)-)-methyltransferase
Q99835,SMO,SMO_HUMAN,Smoothened homolog
Q92504,SLC39A7,S39A7_HUMAN,Zinc transporter SLC39A7
Q9H4B6,SAV1,SAV1_HUMAN,Protein salvador homolog 1
Q9BYB0,SHANK3,SHAN3_HUMAN,SH3 and multiple ankyrin repeat domains protein 3
Q6IQ16,SPOPL,SPOPL_HUMAN,Speckle-type POZ protein-like
Q9Y5J7,TIMM9,TIM9_HUMAN,Mitochondrial import inner membrane translocase subunit Tim9
B6A8C7,TARM1,TARM1_HUMAN,"T-cell-interacting, activating receptor on myeloid cells protein 1"
Q53HV7,SMUG1,SMUG1_HUMAN,Single-strand selective monofunctional uracil DNA glycosylase
Q9Y6L6,SLCO1B1,SO1B1_HUMAN,Solute carrier organic anion transporter family member 1B1
Q69YW2,STUM,STUM_HUMAN,Protein stum homolog
Q9Y2R5,MRPS17,RT17_HUMAN,"28S ribosomal protein S17, mitochondrial"
Q8N1S5,SLC39A11,S39AB_HUMAN,Zinc transporter ZIP11
O14662,STX16,STX16_HUMAN,Syntaxin-16
O00220,TNFRSF10A,TR10A_HUMAN,Tumor necrosis factor receptor superfamily member 10A
Q13228,SELENBP1,SBP1_HUMAN,Methanethiol oxidase
Q15464,SHB,SHB_HUMAN,SH2 domain-containing adapter protein B
Q12874,SF3A3,SF3A3_HUMAN,Splicing factor 3A subunit 3
Q8WXG8,S100Z,S100Z_HUMAN,Protein S100-Z
O60687,SRPX2,SRPX2_HUMAN,Sushi repeat-containing protein SRPX2
Q92959,SLCO2A1,SO2A1_HUMAN,Solute carrier organic anion transporter family member 2A1
Q9BWW7,SCRT1,SCRT1_HUMAN,Transcriptional repressor scratch 1
A8MT33,SYCE1L,SYC1L_HUMAN,Synaptonemal complex central element protein 1-like
Q96BR1,SGK3,SGK3_HUMAN,Serine/threonine-protein kinase Sgk3
Q7RTU7,SCX,SCX_HUMAN,Basic helix-loop-helix transcription factor scleraxis
Q5VSL9,STRIP1,STRP1_HUMAN,Striatin-interacting protein 1
Q15043,SLC39A14,S39AE_HUMAN,Zinc transporter ZIP14
Q96BU1,S100PBP,S1PBP_HUMAN,S100P-binding protein
Q12772,SREBF2,SRBP2_HUMAN,Sterol regulatory element-binding protein 2
Q9C026,TRIM9,TRIM9_HUMAN,E3 ubiquitin-protein ligase TRIM9
Q6ZRS2,SRCAP,SRCAP_HUMAN,Helicase SRCAP
Q8N3U4,STAG2,STAG2_HUMAN,Cohesin subunit SA-2
Q9NVD3,SETD4,SETD4_HUMAN,SET domain-containing protein 4
P0C7N4,TMEM191B,T191B_HUMAN,Transmembrane protein 191B
Q9BX26,SYCP2,SYCP2_HUMAN,Synaptonemal complex protein 2
P0CF51,TRGC1,TRGC1_HUMAN,T cell receptor gamma constant 1
Q96Q05,TRAPPC9,TPPC9_HUMAN,Trafficking protein particle complex subunit 9
Q8IZW8,TNS4,TENS4_HUMAN,Tensin-4
Q13424,SNTA1,SNTA1_HUMAN,Alpha-1-syntrophin
Q9Y3A6,TMED5,TMED5_HUMAN,Transmembrane emp24 domain-containing protein 5
H3BMG3,SMKR1,SMKR1_HUMAN,Small lysine-rich protein 1
Q9BSN7,TMEM204,TM204_HUMAN,Transmembrane protein 204
Q6Q759,SPAG17,SPG17_HUMAN,Sperm-associated antigen 17
O15270,SPTLC2,SPTC2_HUMAN,Serine palmitoyltransferase 2
Q13813,SPTAN1,SPTN1_HUMAN,"Spectrin alpha chain, non-erythrocytic 1"
Q08945,SSRP1,SSRP1_HUMAN,FACT complex subunit SSRP1
Q92545,TMEM131,TM131_HUMAN,Transmembrane protein 131
Q96I45,TMEM141,TM141_HUMAN,Transmembrane protein 141
Q5VU36,SPATA31A5,S31A5_HUMAN,Spermatogenesis-associated protein 31A5
Q9BV90,SNRNP25,SNR25_HUMAN,U11/U12 small nuclear ribonucleoprotein 25 kDa protein
O94964,SOGA1,SOGA1_HUMAN,Protein SOGA1
Q8WY91,THAP4,THAP4_HUMAN,THAP domain-containing protein 4
Q5HYW3,RTL5,RTL5_HUMAN,Retrotransposon Gag-like protein 5
A0A1B0GTR4,SPRR5,SPRR5_HUMAN,Putative small proline-rich protein 5
O75940,SMNDC1,SPF30_HUMAN,Survival of motor neuron-related-splicing factor 30
Q6UXY8,TMC5,TMC5_HUMAN,Transmembrane channel-like protein 5
Q5JRV8,TMEM255A,T255A_HUMAN,Transmembrane protein 255A
Q9BZR6,RTN4R,RTN4R_HUMAN,Reticulon-4 receptor
P13866,SLC5A1,SC5A1_HUMAN,Sodium/glucose cotransporter 1
O14668,PRRG1,TMG1_HUMAN,Transmembrane gamma-carboxyglutamic acid protein 1
Q9UK28,TMEM59L,TM59L_HUMAN,Transmembrane protein 59-like
Q9H0W8,SMG9,SMG9_HUMAN,Protein SMG9
P17029,ZKSCAN1,ZKSC1_HUMAN,Zinc finger protein with KRAB and SCAN domains 1
P59025,RTP1,RTP1_HUMAN,Receptor-transporting protein 1
Q86UE8,TLK2,TLK2_HUMAN,Serine/threonine-protein kinase tousled-like 2
Q96J01,THOC3,THOC3_HUMAN,THO complex subunit 3
Q9NXG2,THUMPD1,THUM1_HUMAN,THUMP domain-containing protein 1
Q86X19,TMEM17,TMM17_HUMAN,Transmembrane protein 17
Q9P0U3,SENP1,SENP1_HUMAN,Sentrin-specific protease 1
B3SHH9,TMEM114,TM114_HUMAN,Transmembrane protein 114
Q8NCL8,TMEM116,TM116_HUMAN,Transmembrane protein 116
O14788,TNFSF11,TNF11_HUMAN,Tumor necrosis factor ligand superfamily member 11
Q9BQQ7,RTP3,RTP3_HUMAN,Receptor-transporting protein 3
Q6PID6,TTC33,TTC33_HUMAN,Tetratricopeptide repeat protein 33
Q92681,RSC1A1,RSCA1_HUMAN,Regulatory solute carrier protein family 1 member 1
O43592,XPOT,XPOT_HUMAN,Exportin-T
P29084,GTF2E2,T2EB_HUMAN,Transcription initiation factor IIE subunit beta
P15880,RPS2,RS2_HUMAN,40S ribosomal protein S2
O15213,WDR46,WDR46_HUMAN,WD repeat-containing protein 46
Q8N5J4,SPIC,SPIC_HUMAN,Transcription factor Spi-C
Q86T26,TMPRSS11B,TM11B_HUMAN,Transmembrane protease serine 11B
P48553,TRAPPC10,TPC10_HUMAN,Trafficking protein particle complex subunit 10
Q96DX8,RTP4,RTP4_HUMAN,Receptor-transporting protein 4
Q9H4L4,SENP3,SENP3_HUMAN,Sentrin-specific protease 3
Q9Y2B5,VPS9D1,VP9D1_HUMAN,VPS9 domain-containing protein 1
A0A1B0GVQ0,SPAAR,SPAR_HUMAN,Small regulatory polypeptide of amino acid response
P17035,ZNF28,ZNF28_HUMAN,Zinc finger protein 28
Q93045,STMN2,STMN2_HUMAN,Stathmin-2
Q86VQ3,TXNDC2,TXND2_HUMAN,Thioredoxin domain-containing protein 2
Q7Z392,TRAPPC11,TPC11_HUMAN,Trafficking protein particle complex subunit 11
Q9UI54,PRO0628,YT001_HUMAN,Putative uncharacterized protein PRO0628
Q8WYL5,SSH1,SSH1_HUMAN,Protein phosphatase Slingshot homolog 1
Q9UHE8,STEAP1,STEA1_HUMAN,Metalloreductase STEAP1
Q6NT89,TRNP1,TRNP1_HUMAN,TMF-regulated nuclear protein 1
Q96LD8,SENP8,SENP8_HUMAN,Sentrin-specific protease 8
O15455,TLR3,TLR3_HUMAN,Toll-like receptor 3
Q6ZWK6,TMPRSS11F,TM11F_HUMAN,Transmembrane protease serine 11F
Q8NFT2,STEAP2,STEA2_HUMAN,Metalloreductase STEAP2
Q9BXU0,TEX12,TEX12_HUMAN,Testis-expressed protein 12
P01266,TG,THYG_HUMAN,Thyroglobulin
Q9BSG1,ZNF2,ZNF2_HUMAN,Zinc finger protein 2
Q15562,TEAD2,TEAD2_HUMAN,Transcriptional enhancer factor TEF-4
Q658P3,STEAP3,STEA3_HUMAN,Metalloreductase STEAP3
Q9HBM1,SPC25,SPC25_HUMAN,Kinetochore protein Spc25
Q86YD3,TMEM25,TMM25_HUMAN,Transmembrane protein 25
A0PJK1,SLC5A10,SC5AA_HUMAN,Sodium/glucose cotransporter 5
Q15776,ZKSCAN8,ZKSC8_HUMAN,Zinc finger protein with KRAB and SCAN domains 8
Q86TI4,WDR86,WDR86_HUMAN,WD repeat-containing protein 86
Q96Q11,TRNT1,TRNT1_HUMAN,"CCA tRNA nucleotidyltransferase 1, mitochondrial"
Q15468,STIL,STIL_HUMAN,SCL-interrupting locus protein
Q8NBS9,TXNDC5,TXND5_HUMAN,Thioredoxin domain-containing protein 5
Q9BXU7,USP26,UBP26_HUMAN,Ubiquitin carboxyl-terminal hydrolase 26
P0C880,,YT014_HUMAN,Putative uncharacterized protein FLJ40606
A6NLP5,TTC36,TTC36_HUMAN,Tetratricopeptide repeat protein 36
P17041,ZNF32,ZNF32_HUMAN,Zinc finger protein 32
Q8TEU8,WFIKKN2,WFKN2_HUMAN,"WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 2"
Q13336,SLC14A1,UT1_HUMAN,Urea transporter 1
Q5VIR6,VPS53,VPS53_HUMAN,Vacuolar protein sorting-associated protein 53 homolog
O76024,WFS1,WFS1_HUMAN,Wolframin
Q8IWB6,TEX14,TEX14_HUMAN,Inactive serine/threonine-protein kinase TEX14
Q687X5,STEAP4,STEA4_HUMAN,Metalloreductase STEAP4
Q96NC0,ZMAT2,ZMAT2_HUMAN,Zinc finger matrin-type protein 2
B5MCY1,TDRD15,TDR15_HUMAN,Tudor domain-containing protein 15
Q8WWX8,SLC5A11,SC5AB_HUMAN,Sodium/myo-inositol cotransporter 2
P57088,TMEM33,TMM33_HUMAN,Transmembrane protein 33
Q96MN5,TCEANC2,TEAN2_HUMAN,Transcription elongation factor A N-terminal and central domain-containing protein 2
Q9NVA2,SEPTIN11,SEP11_HUMAN,Septin-11
Q9UBP0,SPAST,SPAST_HUMAN,Spastin
Q8N8B7,TCEANC,TEANC_HUMAN,Transcription elongation factor A N-terminal and central domain-containing protein
Q8N6G2,TEX26,TEX26_HUMAN,Testis-expressed protein 26
P17036,ZNF3,ZNF3_HUMAN,Zinc finger protein 3
Q6PHR2,ULK3,ULK3_HUMAN,Serine/threonine-protein kinase ULK3
P53804,TTC3,TTC3_HUMAN,E3 ubiquitin-protein ligase TTC3
P17861,XBP1,XBP1_HUMAN,X-box-binding protein 1
Q96C45,ULK4,ULK4_HUMAN,Serine/threonine-protein kinase ULK4
O60613,SELENOF,SEP15_HUMAN,Selenoprotein F
Q6P2S7,TTC41P,TTC41_HUMAN,Putative tetratricopeptide repeat protein 41
Q9NPG8,ZDHHC4,ZDHC4_HUMAN,Probable palmitoyltransferase ZDHHC4
Q6MZN7,HCP5,HCP5_HUMAN,HLA class I histocompatibility antigen protein P5
Q5JUK3,KCNT1,KCNT1_HUMAN,Potassium channel subfamily T member 1
O43869,OR2T1,OR2T1_HUMAN,Olfactory receptor 2T1
Q8NG97,OR2Z1,OR2Z1_HUMAN,Olfactory receptor 2Z1
Q9UL68,MYT1L,MYT1L_HUMAN,Myelin transcription factor 1-like protein
A6NKB5,PCNX2,PCX2_HUMAN,Pecanex-like protein 2
P47893,OR3A2,OR3A2_HUMAN,Olfactory receptor 3A2
Q9NPI5,NMRK2,NRK2_HUMAN,Nicotinamide riboside kinase 2
Q8N9F0,NAT8L,NAT8L_HUMAN,N-acetylaspartate synthetase
P52849,NDST2,NDST2_HUMAN,Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 2
O95803,NDST3,NDST3_HUMAN,Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 3
Q86UT6,NLRX1,NLRX1_HUMAN,NLR family member X1
Q9NYA4,MTMR4,MTMR4_HUMAN,Myotubularin-related protein 4
B1AL46,NUTM2E,NTM2E_HUMAN,NUT family member 2E
Q9UBU9,NXF1,NXF1_HUMAN,Nuclear RNA export factor 1
A6NET4,OR5K3,OR5K3_HUMAN,Olfactory receptor 5K3
Q969F2,NKD2,NKD2_HUMAN,Protein naked cuticle homolog 2
Q92569,PIK3R3,P55G_HUMAN,Phosphatidylinositol 3-kinase regulatory subunit gamma
Q9UGF6,OR5V1,OR5V1_HUMAN,Olfactory receptor 5V1
Q8N490,PNKD,PNKD_HUMAN,Probable hydrolase PNKD
Q8NGG3,OR5T3,OR5T3_HUMAN,Olfactory receptor 5T3
O95047,OR2A4,OR2A4_HUMAN,Olfactory receptor 2A4
Q15072,ZNF146,OZF_HUMAN,Zinc finger protein OZF
Q6UW60,PCSK4,PCSK4_HUMAN,Proprotein convertase subtilisin/kexin type 4
O15069,NACAD,NACAD_HUMAN,NAC-alpha domain-containing protein 1
Q9UBG0,MRC2,MRC2_HUMAN,C-type mannose receptor 2
Q8NGC5,OR6J1,OR6J1_HUMAN,Olfactory receptor 6J1
A6NDB9,PALM3,PALM3_HUMAN,Paralemmin-3
Q9P0J0,NDUFA13,NDUAD_HUMAN,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13
Q86X76,NIT1,NIT1_HUMAN,Deaminated glutathione amidase
Q99801,NKX3-1,NKX31_HUMAN,Homeobox protein Nkx-3.1
Q5HYI7,MTX3,MTX3_HUMAN,Metaxin-3
Q13635,PTCH1,PTC1_HUMAN,Protein patched homolog 1
Q9BPZ3,PAIP2,PAIP2_HUMAN,Polyadenylate-binding protein-interacting protein 2
Q7L1V2,MON1B,MON1B_HUMAN,Vacuolar fusion protein MON1 homolog B
Q8N148,OR6V1,OR6V1_HUMAN,Olfactory receptor 6V1
Q9Y6C5,PTCH2,PTC2_HUMAN,Protein patched homolog 2
Q6ZVD8,PHLPP2,PHLP2_HUMAN,PH domain leucine-rich repeat-containing protein phosphatase 2
A6NGR9,MROH6,MROH6_HUMAN,Maestro heat-like repeat-containing protein family member 6
P04629,NTRK1,NTRK1_HUMAN,High affinity nerve growth factor receptor
Q8NGJ3,OR52E1,O52E1_HUMAN,Olfactory receptor 52E1
Q86UQ8,NFE4,NFE4_HUMAN,Transcription factor NF-E4
Q7Z401,DENND4A,MYCPP_HUMAN,C-myc promoter-binding protein
Q99943,AGPAT1,PLCA_HUMAN,1-acyl-sn-glycerol-3-phosphate acyltransferase alpha
O60331,PIP5K1C,PI51C_HUMAN,Phosphatidylinositol 4-phosphate 5-kinase type-1 gamma
P02810,PRH1,PRPC_HUMAN,Salivary acidic proline-rich phosphoprotein 1/2
Q9NPC7,MYNN,MYNN_HUMAN,Myoneurin
Q9Y6Q9,NCOA3,NCOA3_HUMAN,Nuclear receptor coactivator 3
Q9HB40,SCPEP1,RISC_HUMAN,Retinoid-inducible serine carboxypeptidase
C9JE40,PATL2,PATL2_HUMAN,Protein PAT1 homolog 2
Q15365,PCBP1,PCBP1_HUMAN,Poly(rC)-binding protein 1
Q9BRC7,PLCD4,PLCD4_HUMAN,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-4"
P15259,PGAM2,PGAM2_HUMAN,Phosphoglycerate mutase 2
O95206,PCDH8,PCDH8_HUMAN,Protocadherin-8
O60890,OPHN1,OPHN1_HUMAN,Oligophrenin-1
Q96IV0,NGLY1,NGLY1_HUMAN,Peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase
P21108,PRPS1L1,PRPS3_HUMAN,Ribose-phosphate pyrophosphokinase 3
P49796,RGS3,RGS3_HUMAN,Regulator of G-protein signaling 3
Q9Y3T9,NOC2L,NOC2L_HUMAN,Nucleolar complex protein 2 homolog
P49798,RGS4,RGS4_HUMAN,Regulator of G-protein signaling 4
Q9NZB8,MOCS1,MOCS1_HUMAN,Molybdenum cofactor biosynthesis protein 1
Q9Y4Z2,NEUROG3,NGN3_HUMAN,Neurogenin-3
P54821,PRRX1,PRRX1_HUMAN,Paired mesoderm homeobox protein 1
Q969V5,MUL1,MUL1_HUMAN,Mitochondrial ubiquitin ligase activator of NFKB 1
Q86VF5,MOGAT3,MOGT3_HUMAN,2-acylglycerol O-acyltransferase 3
O95948,ONECUT2,ONEC2_HUMAN,One cut domain family member 2
Q9HB07,C12orf10,MYG1_HUMAN,"UPF0160 protein MYG1, mitochondrial"
Q99583,MNT,MNT_HUMAN,Max-binding protein MNT
Q969N2,PIGT,PIGT_HUMAN,GPI transamidase component PIG-T
Q8NHV9,RHOXF1,RHXF1_HUMAN,Rhox homeobox family member 1
Q8TDE3,RNASE8,RNAS8_HUMAN,Ribonuclease 8
Q9HD43,PTPRH,PTPRH_HUMAN,Receptor-type tyrosine-protein phosphatase H
Q8N614,TMEM156,TM156_HUMAN,Transmembrane protein 156
Q658L1,SAXO2,SAXO2_HUMAN,Stabilizer of axonemal microtubules 2
P58743,SLC26A5,S26A5_HUMAN,Prestin
P10828,THRB,THB_HUMAN,Thyroid hormone receptor beta
P59534,TAS2R39,T2R39_HUMAN,Taste receptor type 2 member 39
P21549,AGXT,SPYA_HUMAN,Serine--pyruvate aminotransferase
Q5T1C6,THEM4,THEM4_HUMAN,Acyl-coenzyme A thioesterase THEM4
Q96BI1,SLC22A18,S22AI_HUMAN,Solute carrier family 22 member 18
Q96B77,TMEM186,TM186_HUMAN,Transmembrane protein 186
P45983,MAPK8,MK08_HUMAN,Mitogen-activated protein kinase 8
Q02978,SLC25A11,M2OM_HUMAN,Mitochondrial 2-oxoglutarate/malate carrier protein
Q86XN8,MEX3D,MEX3D_HUMAN,RNA-binding protein MEX3D
Q99750,MDFI,MDFI_HUMAN,MyoD family inhibitor
Q5VYJ5,MALRD1,MALR1_HUMAN,MAM and LDL-receptor class A domain-containing protein 1
Q96PY0,PSMG3-AS1,K1908_HUMAN,Putative uncharacterized protein PSMG3-AS1
Q5JYT7,KIAA1755,K1755_HUMAN,Uncharacterized protein KIAA1755
Q96L34,MARK4,MARK4_HUMAN,MAP/microtubule affinity-regulating kinase 4
Q9BWT6,MND1,MND1_HUMAN,Meiotic nuclear division protein 1 homolog
Q8IZ02,LRRC34,LRC34_HUMAN,Leucine-rich repeat-containing protein 34
Q9NZN1,IL1RAPL1,IRPL1_HUMAN,Interleukin-1 receptor accessory protein-like 1
P60985,KRTDAP,KTDAP_HUMAN,Keratinocyte differentiation-associated protein
Q9NPC2,KCNK9,KCNK9_HUMAN,Potassium channel subfamily K member 9
Q92743,HTRA1,HTRA1_HUMAN,Serine protease HTRA1
Q8NCM2,KCNH5,KCNH5_HUMAN,Potassium voltage-gated channel subfamily H member 5
Q8N7Y1,KIRREL3-AS3,KIAS3_HUMAN,Putative uncharacterized protein KIRREL3-AS3
P60413,KRTAP10-12,KR10C_HUMAN,Keratin-associated protein 10-12
Q9HC58,SLC24A3,NCKX3_HUMAN,Sodium/potassium/calcium exchanger 3
Q16621,NFE2,NFE2_HUMAN,Transcription factor NF-E2 45 kDa subunit
O00533,CHL1,NCHL1_HUMAN,Neural cell adhesion molecule L1-like protein
Q6ZS17,RIPOR1,RIPR1_HUMAN,Rho family-interacting cell polarization regulator 1
Q8IY67,RAVER1,RAVR1_HUMAN,Ribonucleoprotein PTB-binding 1
P49802,RGS7,RGS7_HUMAN,Regulator of G-protein signaling 7
Q9Y2P8,RCL1,RCL1_HUMAN,RNA 3'-terminal phosphate cyclase-like protein
Q92565,RAPGEF5,RPGF5_HUMAN,Rap guanine nucleotide exchange factor 5
Q6PJF5,RHBDF2,RHDF2_HUMAN,Inactive rhomboid protein 2
Q00765,REEP5,REEP5_HUMAN,Receptor expression-enhancing protein 5
Q7Z6I6,ARHGAP30,RHG30_HUMAN,Rho GTPase-activating protein 30
O94955,RHOBTB3,RHBT3_HUMAN,Rho-related BTB domain-containing protein 3
Q8TA86,RP9,RP9_HUMAN,Retinitis pigmentosa 9 protein
Q04864,REL,REL_HUMAN,Proto-oncogene c-Rel
O95602,POLR1A,RPA1_HUMAN,DNA-directed RNA polymerase I subunit RPA1
Q9ULK6,RNF150,RN150_HUMAN,RING finger protein 150
Q86Y79,PTRH1,PTH_HUMAN,Probable peptidyl-tRNA hydrolase
Q96PX1,RNF157,RN157_HUMAN,E3 ubiquitin ligase RNF157
Q8IWN7,RP1L1,RP1L1_HUMAN,Retinitis pigmentosa 1-like 1 protein
P62750,RPL23A,RL23A_HUMAN,60S ribosomal protein L23a
Q99729,HNRNPAB,ROAA_HUMAN,Heterogeneous nuclear ribonucleoprotein A/B
O95059,RPP14,RPP14_HUMAN,Ribonuclease P protein subunit p14
O95935,TBX18,TBX18_HUMAN,T-box transcription factor TBX18
Q96SF2,CCT8L2,TCPQM_HUMAN,T-complex protein 1 subunit theta-like 2
Q9NP81,SARS2,SYSM_HUMAN,"Serine--tRNA ligase, mitochondrial"
P52756,RBM5,RBM5_HUMAN,RNA-binding protein 5
Q9UHQ7,TCEAL9,TCAL9_HUMAN,Transcription elongation factor A protein-like 9
P55735,SEC13,SEC13_HUMAN,Protein SEC13 homolog
Q96GP6,SCARF2,SREC2_HUMAN,Scavenger receptor class F member 2
A6NKW6,SHISAL2B,SHL2B_HUMAN,Protein shisa-like-2B
Q9Y3F1,,TA6P_HUMAN,Putative TAP2-associated 6.5 kDa polypeptide
P0DMW3,SMIM10L1,SIML1_HUMAN,Small integral membrane protein 10-like protein 1
P49848,TAF6,TAF6_HUMAN,Transcription initiation factor TFIID subunit 6
Q5T1Q4,SLC35F1,S35F1_HUMAN,Solute carrier family 35 member F1
Q13242,SRSF9,SRSF9_HUMAN,Serine/arginine-rich splicing factor 9
Q9NY46,SCN3A,SCN3A_HUMAN,Sodium channel protein type 3 subunit alpha
Q96SA4,SERINC2,SERC2_HUMAN,Serine incorporator 2
Q6UWJ1,TMCO3,TMCO3_HUMAN,Transmembrane and coiled-coil domain-containing protein 3
Q8WVE6,TMEM171,TM171_HUMAN,Transmembrane protein 171
P41273,TNFSF9,TNFL9_HUMAN,Tumor necrosis factor ligand superfamily member 9
Q9BVV6,KIAA0586,TALD3_HUMAN,Protein TALPID3
P59540,TAS2R46,T2R46_HUMAN,Taste receptor type 2 member 46
Q6ZYL4,GTF2H5,TF2H5_HUMAN,General transcription factor IIH subunit 5
P51398,DAP3,RT29_HUMAN,"28S ribosomal protein S29, mitochondrial"
H3BR10,SMLR1,SMLR1_HUMAN,Small leucine-rich protein 1
Q9NWX6,THG1L,THG1_HUMAN,Probable tRNA(His) guanylyltransferase
Q9BZW4,TM6SF2,TM6S2_HUMAN,Transmembrane 6 superfamily member 2
O75602,SPAG6,SPAG6_HUMAN,Sperm-associated antigen 6
P21246,PTN,PTN_HUMAN,Pleiotrophin
A6NED2,RCCD1,RCCD1_HUMAN,RCC1 domain-containing protein 1
Q6ZSG1,RNF165,RN165_HUMAN,E3 ubiquitin-protein ligase RNF165
Q8IVN8,SBSPON,SBSPO_HUMAN,Somatomedin-B and thrombospondin type-1 domain-containing protein
P54829,PTPN5,PTN5_HUMAN,Tyrosine-protein phosphatase non-receptor type 5
O95025,SEMA3D,SEM3D_HUMAN,Semaphorin-3D
P02788,LTF,TRFL_HUMAN,Lactotransferrin
Q8WU79,SMAP2,SMAP2_HUMAN,Stromal membrane-associated protein 2
A0A087WVF3,TBC1D3D,TBC3D_HUMAN,TBC1 domain family member 3D
Q9BXI6,TBC1D10A,TB10A_HUMAN,TBC1 domain family member 10A
Q9P1W8,SIRPG,SIRPG_HUMAN,Signal-regulatory protein gamma
P20062,TCN2,TCO2_HUMAN,Transcobalamin-2
P63165,SUMO1,SUMO1_HUMAN,Small ubiquitin-related modifier 1
Q68D10,SPTY2D1,SPT2_HUMAN,Protein SPT2 homolog
Q99426,TBCB,TBCB_HUMAN,Tubulin-folding cofactor B
P0C7V6,SUPT20HL2,SP202_HUMAN,Putative transcription factor SPT20 homolog-like 2
Q8NEM7,SUPT20H,SP20H_HUMAN,Transcription factor SPT20 homolog
I1YAP6,TRIM77,TRI77_HUMAN,Tripartite motif-containing protein 77
Q9BYV2,TRIM54,TRI54_HUMAN,Tripartite motif-containing protein 54
Q9UMX1,SUFU,SUFU_HUMAN,Suppressor of fused homolog
Q9Y5S1,TRPV2,TRPV2_HUMAN,Transient receptor potential cation channel subfamily V member 2
Q969Z4,RELT,TR19L_HUMAN,Tumor necrosis factor receptor superfamily member 19L
Q9BXW3,SNHG12,SNH12_HUMAN,Putative uncharacterized protein SNHG12
Q6EEV6,SUMO4,SUMO4_HUMAN,Small ubiquitin-related modifier 4
Q9UDX3,SEC14L4,S14L4_HUMAN,SEC14-like protein 4
A8MWV9,SMIM34A,SM34A_HUMAN,Small integral membrane protein 34A
Q7RTN6,STRADA,STRAA_HUMAN,STE20-related kinase adapter protein alpha
Q9UIB8,CD84,SLAF5_HUMAN,SLAM family member 5
Q15020,SART3,SART3_HUMAN,Squamous cell carcinoma antigen recognized by T-cells 3
Q9NQ25,SLAMF7,SLAF7_HUMAN,SLAM family member 7
P0CI26,TRIM49C,TR49C_HUMAN,Tripartite motif-containing protein 49C
A6NGW2,STRCP1,STRCL_HUMAN,Putative stereocilin-like protein
A0JD37,TRDV3,TRDV3_HUMAN,T cell receptor delta variable 3
P48066,SLC6A11,S6A11_HUMAN,Sodium- and chloride-dependent GABA transporter 3
Q7RTX1,TAS1R1,TS1R1_HUMAN,Taste receptor type 1 member 1
Q9UGP8,SEC63,SEC63_HUMAN,Translocation protein SEC63 homolog
Q6ICI0,TMEM211,TM211_HUMAN,Transmembrane protein 211
P08240,SRPRA,SRPRA_HUMAN,Signal recognition particle receptor subunit alpha
O75558,STX11,STX11_HUMAN,Syntaxin-11
O95379,TNFAIP8,TFIP8_HUMAN,Tumor necrosis factor alpha-induced protein 8
